Timestamp,EURUSD,GBPUSD,JPYUSD
2013-04-15 05:00:00,0.7645786025032304,0.6525498384939149,97.927
2013-04-15 06:00:00,0.7649529171479496,0.6525966821984677,98.042
2013-04-15 07:00:00,0.7647657140235089,0.6525072591432579,97.974
2013-04-15 08:00:00,0.7648534540781986,0.6521370531230843,98.158
2013-04-15 09:00:00,0.7660428524371654,0.653027107155218,98.078
2013-04-15 10:00:00,0.7654916370038658,0.6528906734567297,97.96
2013-04-15 11:00:00,0.7647364718118137,0.6519329812895234,97.733
2013-04-15 12:00:00,0.7646662996268428,0.6520477559776477,97.711
2013-04-15 13:00:00,0.7635336336565626,0.6520647630722683,97.931
2013-04-15 14:00:00,0.7641637755803824,0.6525881646610457,97.858
2013-04-15 15:00:00,0.7642396961382969,0.653099610752632,97.956
2013-04-15 16:00:00,0.7645435292858398,0.652967410396547,98.034
2013-04-15 17:00:00,0.7650524060898172,0.6532019961853003,98.063
2013-04-15 18:00:00,0.7651167950787687,0.653223330524473,97.703
2013-04-15 19:00:00,0.7668535233085129,0.6544416957893222,97.275
2013-04-15 20:00:00,0.7672771635297819,0.6543817401319234,96.792
2013-04-15 21:00:00,0.7671829808127537,0.6543432030099787,96.734
2013-04-15 22:00:00,0.7664832216822774,0.6539366989275439,96.592
2013-04-15 23:00:00,0.7662659095959481,0.6539965730579571,97.031
2013-04-16 00:00:00,0.7661074082586379,0.6537785129153945,96.802
2013-04-16 01:00:00,0.7666007390031124,0.6541249116931369,96.771
2013-04-16 02:00:00,0.7674008134448623,0.6547459258434765,96.985
2013-04-16 03:00:00,0.7669476251466787,0.6545959179398557,97.058
2013-04-16 04:00:00,0.7654916370038658,0.653483721720492,97.425
2013-04-16 05:00:00,0.7647013841095052,0.6533641721222575,97.564
2013-04-16 06:00:00,0.7648242051564448,0.6534965332008914,97.327
2013-04-16 07:00:00,0.7651226491606604,0.6539409752875706,97.536
2013-04-16 08:00:00,0.766377486894945,0.6535477841462378,97.76
